lz: 103.68336994329699507 Vol: 1322192.2808918009978 PE: -399646.547465207  Pxx: 0.138632091693179 Pyy: -0.000751093690407113 Pzz: 0.0717317638549848 
lz: 103.57968657335369755 Vol: 1321450.4299769152422 PE: -399662.187075596  Pxx: 0.0513547963598692 Pyy: -0.0002161672532805 Pzz: -0.0881783334501854 
lz: 103.47600320341040003 Vol: 1322310.6157871896867 PE: -399686.787436313  Pxx: -0.0513540091724097 Pyy: 0.000345055149814183 Pzz: -0.24807051353394 
lz: 103.37231983346710251 Vol: 1321682.6007276836317 PE: -399659.738289878  Pxx: -0.105393776799983 Pyy: 0.000800246268241051 Pzz: -0.394953834705723 
lz: 103.26863646352380499 Vol: 1320939.9359899403062 PE: -399666.125413702  Pxx: -0.0716566788628241 Pyy: -0.00078488918093052 Pzz: -0.506892817631718 
lz: 103.16495309358049326 Vol: 1320784.5214859712869 PE: -399680.066074855  Pxx: 0.00489664151885137 Pyy: 0.00117338343829508 Pzz: -0.604900455492142 
lz: 103.06126972363719574 Vol: 1319023.0253863509279 PE: -399653.95197295  Pxx: 0.090625039646135 Pyy: -0.000649965392772555 Pzz: -0.692035609736672 
lz: 102.95758635369389822 Vol: 1317600.208648116095 PE: -399651.336457579  Pxx: 0.177929318660658 Pyy: -0.000989816382403232 Pzz: -0.782468429193206 
lz: 102.8539029837506007 Vol: 1316692.8394327783026 PE: -399657.090878966  Pxx: 0.223592565246129 Pyy: 0.000370995241438363 Pzz: -0.887676340829894 
lz: 102.75021961380730318 Vol: 1315248.1080303862691 PE: -399641.469625138  Pxx: 0.201210496033081 Pyy: 7.26618368054312e-05 Pzz: -1.01160346138236 
lz: 102.64653624386399144 Vol: 1314376.8158450666815 PE: -399632.764908559  Pxx: 0.162249761105765 Pyy: -0.000225337823759403 Pzz: -1.15594623500368 
lz: 102.54285287392069392 Vol: 1314201.6133958741557 PE: -399636.332368644  Pxx: 0.0887029426963001 Pyy: -0.000236038588770291 Pzz: -1.2983914127429 
lz: 102.4391695039773964 Vol: 1313572.9166628213134 PE: -399631.87831949  Pxx: 0.0163044913519938 Pyy: 0.00015847963763126 Pzz: -1.45759479658987 
lz: 102.33548613403409888 Vol: 1313366.3273943539243 PE: -399611.698022139  Pxx: -0.0349932205244244 Pyy: -0.000342974458254217 Pzz: -1.59528340445628 
lz: 102.23180276409080136 Vol: 1312727.5999857475981 PE: -399601.537375373  Pxx: -0.0469075341556869 Pyy: -0.000375837085627978 Pzz: -1.72476473742944 
lz: 102.12811939414748963 Vol: 1312306.0874735296238 PE: -399598.077509656  Pxx: -0.0340303692966123 Pyy: -0.000743166061131805 Pzz: -1.83875651976264 
lz: 102.0244360242043058 Vol: 1311707.8239597762004 PE: -399583.231342566  Pxx: 0.019115177078962 Pyy: 0.0005304014932379 Pzz: -1.9438589343068 
lz: 101.92075265426100827 Vol: 1310564.3080072710291 PE: -399562.311716952  Pxx: 0.0849825889799441 Pyy: -0.00014243281357412 Pzz: -2.02976674544494 
lz: 101.81706928431769654 Vol: 1309418.1087834998034 PE: -399551.781154968  Pxx: 0.150868017882128 Pyy: 1.08945132371163e-05 Pzz: -2.13151492815909 
lz: 101.71338591437439902 Vol: 1308628.4379422548227 PE: -399535.136658591  Pxx: 0.194836191117034 Pyy: -1.68874500622468e-05 Pzz: -2.23078318453769 
lz: 101.6097025444311015 Vol: 1307253.2697451221757 PE: -399519.450751013  Pxx: 0.218783254875669 Pyy: -2.71108358678138e-05 Pzz: -2.34233597873178 
lz: 101.50601917448778977 Vol: 1306469.6650482157711 PE: -399495.600509341  Pxx: 0.202391252725133 Pyy: -0.000236832305085327 Pzz: -2.46226560437072 
lz: 101.40233580454449225 Vol: 1305735.0523567618802 PE: -399481.008811205  Pxx: 0.16841190104132 Pyy: 0.00076365392408993 Pzz: -2.59014575083394 
lz: 101.29865243460119473 Vol: 1304804.6465300733689 PE: -399477.745318273  Pxx: 0.120629775517473 Pyy: -0.000127190794938693 Pzz: -2.72780728652542 
lz: 101.19496906465789721 Vol: 1304216.5318612332921 PE: -399453.304970921  Pxx: 0.0681591030444971 Pyy: 0.000152763873932644 Pzz: -2.86196394533516 
lz: 101.09128569471459969 Vol: 1303948.6827217196114 PE: -399427.039817104  Pxx: 0.0163267468297676 Pyy: -0.000317103739153127 Pzz: -2.99676893769482 
lz: 100.98760232477130216 Vol: 1303495.7353834025562 PE: -399408.21671514  Pxx: -0.0120309267715992 Pyy: 0.000604056781374487 Pzz: -3.12425602437374 
lz: 100.88391895482800464 Vol: 1302668.440977134509 PE: -399397.289701979  Pxx: -0.00576228193449257 Pyy: -0.000727873730637952 Pzz: -3.23462479081969 
lz: 100.78023558488470712 Vol: 1302104.125187626807 PE: -399365.244971972  Pxx: 0.000367092104828737 Pyy: -0.000354742105104445 Pzz: -3.34432946106052 
lz: 100.67655221494139539 Vol: 1301521.5360253413673 PE: -399331.033604766  Pxx: 0.0263484596827836 Pyy: -0.000135106101486456 Pzz: -3.44785166194563 
lz: 100.57286884499809787 Vol: 1300605.9781851600856 PE: -399312.627788195  Pxx: 0.0722053427712313 Pyy: -0.000413320241544099 Pzz: -3.54343833843072 
lz: 100.46918547505480035 Vol: 1299831.5582885448821 PE: -399296.622760198  Pxx: 0.13452483395361 Pyy: 0.00128266988084363 Pzz: -3.6326830015613 
lz: 100.36550210511148862 Vol: 1298435.1518902773969 PE: -399264.828018163  Pxx: 0.174429498233917 Pyy: -0.000248704692068463 Pzz: -3.73052029324653 
lz: 100.2618187351681911 Vol: 1297398.1423081462272 PE: -399222.433809012  Pxx: 0.20379116511665 Pyy: -0.00018859529230794 Pzz: -3.8327802944402 
lz: 100.15813536522489358 Vol: 1296351.1864085076377 PE: -399194.484452816  Pxx: 0.2268846670007 Pyy: 0.000368678102521966 Pzz: -3.92780225796646 
lz: 100.05445199528159606 Vol: 1295540.2115183803253 PE: -399172.610087298  Pxx: 0.231447473708604 Pyy: 0.000574557562302939 Pzz: -4.04256375882602 
lz: 99.950768625338298534 Vol: 1294948.86219372903 PE: -399142.80340848  Pxx: 0.210456955620369 Pyy: 0.000375074443911793 Pzz: -4.15862001439247 
lz: 99.847085255395001013 Vol: 1293816.6182171613909 PE: -399107.854569507  Pxx: 0.176166312264761 Pyy: -0.000227585479842933 Pzz: -4.27315249390464 
lz: 99.743401885451703492 Vol: 1292976.5403537971433 PE: -399078.992999893  Pxx: 0.148422915404623 Pyy: -0.000547883854145145 Pzz: -4.39240689529595 
lz: 99.639718515508405972 Vol: 1292994.2543794317171 PE: -399043.950430497  Pxx: 0.118038042007858 Pyy: 0.00106435711775013 Pzz: -4.52153321875877 
lz: 99.536035145565108451 Vol: 1291975.0005779128987 PE: -399010.375212161  Pxx: 0.0899312799067496 Pyy: 0.000180486863086109 Pzz: -4.63443165714986 
lz: 99.432351775621796719 Vol: 1291398.0662169526331 PE: -398976.244326686  Pxx: 0.0630182610325427 Pyy: -0.000377086726886421 Pzz: -4.75225799480099 
lz: 99.328668405678499198 Vol: 1290975.4747654348612 PE: -398946.459602589  Pxx: 0.0557479492102444 Pyy: 0.00120377552616483 Pzz: -4.85563237362 
lz: 99.224985035735187466 Vol: 1290130.6842126036063 PE: -398908.613572612  Pxx: 0.0547518540715658 Pyy: 0.000349926593883909 Pzz: -4.96053113777767 
lz: 99.121301665791889945 Vol: 1289434.3004308573436 PE: -398865.317841125  Pxx: 0.0570848613951436 Pyy: -0.000188191489409549 Pzz: -5.06230530481675 
lz: 99.017618295848592425 Vol: 1288871.4227878998499 PE: -398823.722389209  Pxx: 0.0654197564407964 Pyy: -0.000197968440189358 Pzz: -5.15844945178952 
lz: 98.913934925905294904 Vol: 1288169.0652969831135 PE: -398787.383782038  Pxx: 0.0880130477403448 Pyy: -6.96805021533579e-05 Pzz: -5.25035994281814 
lz: 98.810251555961997383 Vol: 1287064.6014774707146 PE: -398749.864456268  Pxx: 0.119244902469896 Pyy: 0.000802959225897272 Pzz: -5.33841146854666 
lz: 98.706568186018699862 Vol: 1286323.4983552170452 PE: -398708.902414594  Pxx: 0.145384876045978 Pyy: -0.000659765210342576 Pzz: -5.42749653618527 
lz: 98.602884816075402341 Vol: 1285007.6706036627293 PE: -398662.899049632  Pxx: 0.167146869332341 Pyy: -0.000743248860091962 Pzz: -5.516978970289 
lz: 98.49920144613210482 Vol: 1284548.711598173948 PE: -398615.638935773  Pxx: 0.19769208613737 Pyy: -0.000385477456517581 Pzz: -5.60572216492837 
lz: 98.395518076188892564 Vol: 1283910.8723759474233 PE: -398579.721676876  Pxx: 0.228263473739104 Pyy: 0.000360694058171253 Pzz: -5.6912245865906 
lz: 98.291834706245595044 Vol: 1282694.533454972785 PE: -398536.951580736  Pxx: 0.2478463619363 Pyy: -0.00014719441373013 Pzz: -5.77841367166469 
lz: 98.188151336302297523 Vol: 1281909.9295446188189 PE: -398485.493805964  Pxx: 0.264435512395837 Pyy: -0.000158620785348336 Pzz: -5.86181207900288 
lz: 98.084467966359000002 Vol: 1281008.3068690020591 PE: -398440.560255433  Pxx: 0.269951110996795 Pyy: -0.00019865105968769 Pzz: -5.94774166905735 
lz: 97.980784596415702481 Vol: 1280201.9329125245567 PE: -398390.941624686  Pxx: 0.270790126852172 Pyy: 0.000165425795557601 Pzz: -6.04562935486955 
lz: 97.87710122647240496 Vol: 1279501.15586213395 PE: -398346.987420022  Pxx: 0.275325565346078 Pyy: -0.000425127421431151 Pzz: -6.13231269088226 
lz: 97.773417856529107439 Vol: 1278603.9377001028042 PE: -398297.785706552  Pxx: 0.265029085828046 Pyy: -0.000407504513155803 Pzz: -6.22282458027371 
lz: 97.669734486585795707 Vol: 1277962.8119661549572 PE: -398250.837290872  Pxx: 0.258162344429392 Pyy: 0.000669153583903935 Pzz: -6.31203923718233 
lz: 97.566051116642498187 Vol: 1277196.6555009426083 PE: -398198.522708711  Pxx: 0.244416189317019 Pyy: -0.000232888612636802 Pzz: -6.40813554108253 
lz: 97.462367746699200666 Vol: 1276402.6465883345809 PE: -398152.772075055  Pxx: 0.234298606516189 Pyy: 0.000258964217002224 Pzz: -6.49300175246437 
lz: 97.358684376755888934 Vol: 1275800.8266451684758 PE: -398099.155312291  Pxx: 0.227227638452655 Pyy: 0.000585655629791848 Pzz: -6.57808735388737 
lz: 97.255001006812591413 Vol: 1275032.7519827005453 PE: -398050.394081024  Pxx: 0.219751283122177 Pyy: 0.000206316566998028 Pzz: -6.67341371531253 
